>A/Chicken/Suzhou/097-1/2013|2013-04-09
>A/Chicken/Nanjing/761/2013|2013-04-09
>A/Chicken/Nanjing/759/2013|2013-04-09
>A/Chicken/Zhejiang/3/2014|2014-01-20
>A/Chicken/Zhejiang/2/2014|2014-01-17
>A/Chicken/Zhejiang/1/2014|2014-01-27
>A/Chicken/Zhejiang/3/2013|2013-04-04
>A/Chicken/Zhejiang/2/2013|2013-04-04
>A/Chicken/Zhejiang/1/2013|2013-04-04
>A/chicken/Hangzhou/50-1/2013(H7N9)|2013-04-10
>A/chicken/Hangzhou/48-1/2013(H7N9)|2013-04-10
>A/Chicken/Guangdong/SW154/2015|2015-02-10
>A/Chicken/Guangdong/SW153/2015|2015-02-05
>A/Chicken/Guangdong/CZ145/2015|2015-02-01
>A/Chicken/Guangdong/GZ068/2015|2015-01-01
>A/Chicken/Guangdong/DG120/2015|2015-01-15
>A/Chicken/Guangdong/HZ098/2015|2015-01-01
>A/Chicken/Guangdong/DG593/2014|2014-12-12
>A/Chicken/Guangdong/DG479/2014|2014-11-30
>A/Chicken/Guangdong/DG478/2014|2014-11-25
>A/chicken/Shanghai/PD-CN-02/2014|2014-01-21
>A/chicken/Dongguan/3145/2013|2013-12-18
>A/chicken/Dongguan/3141/2013|2013-12-18
>A/chicken/Dongguan/3112/2013|2013-12-18
>A/silkie_chicken/Dongguan/3049/2013|2013-12-18
>A/chicken/Dongguan/2912/2013|2013-12-18
>A/chicken/Shenzhen/2293/2013|2013-12-13
>A/chicken/Shenzhen/2201/2013|2013-12-13
>A/silkie_chicken/Shenzhen/2139/2013|2013-12-13
>A/silkie_chicken/Shenzhen/2134/2013|2013-12-13
>A/silkie_chicken/Dongguan/523/2014|2014-02-20
>A/chicken/Dongguan/1697/2014|2014-02-21
>A/chicken/Dongguan/1690/2014|2014-02-21
>A/silkie_chicken/Dongguan/1641/2014|2014-02-21
>A/chicken/Dongguan/1548/2014|2014-02-21
>A/chicken/Dongguan/1533/2014|2014-02-21
>A/chicken/Dongguan/1527/2014|2014-02-21
>A/silkie_chicken/Dongguan/1519/2014|2014-02-21
>A/chicken/Dongguan/1100/2014|2014-02-21
>A/silkie_chicken/Dongguan/997/2014|2014-02-21
>A/silkie_chicken/Dongguan/953/2014|2014-02-21
>A/chicken/Dongguan/397/2014|2014-02-20
>A/chicken/Shantou/1556/2014|2014-03-05
>A/chicken/Shantou/1554/2014|2014-03-05
>A/chicken/Shantou/1552/2014|2014-03-05
>A/chicken/Shantou/1550/2014|2014-03-05
>A/silkie_chicken/Shantou/1406/2014|2014-02-25
>A/chicken/Shenzhen/138/2014|2014-02-19
>A/chicken/Dongguan/575/2014|2014-02-20
>A/chicken/Shenzhen/2110/2013|2013-12-13
>A/chicken/Shenzhen/1665/2013|2013-12-12
>A/silkie_chicken/Shenzhen/919/2013|2013-12-09
>A/silkie_chicken/Shenzhen/918/2013|2013-12-09
>A/chicken/Shenzhen/898/2013|2013-12-09
>A/chicken/Shenzhen/749/2013|2013-12-10
>A/chicken/Shenzhen/747/2013|2013-12-10
>A/chicken/Shenzhen/742/2013|2013-12-10
>A/chicken/Shenzhen/727/2013|2013-12-10
>A/chicken/Guangdong/SD1/2013|2013-05-16
>A/chicken/Guangdong/G3/2013|2013-05-05
>A/chicken/Guangdong/G2/2013|2013-05-05
>A/chicken/Guangdong/G1/2013|2013-05-05
>A/chicken/Guangdong/3640/2013|2013-05-16
>A/chicken/Guangdong/3135/2013|2013-05-16
>A/chicken/Guangdong/SD641/2013|2013-05-03
>A/chicken/Jiangsu/S002/2013|2013-04-16
>A/chicken/Jiangsu/SC035/2013|2013-04-16
>A/chicken/Jiangsu/SC099/2013|2013-04-16
>A/chicken/Jiangsu/SC537/2013|2013-04-16
>A/chicken/Jiangxi/SD001/2013|2013-05-03
>A/chicken/Shanghai/S1055/2013|2013-04-03
>A/chicken/Shanghai/S1076/2013|2013-04-03
>A/chicken/Shanghai/S1077/2013|2013-04-03
>A/chicken/Shanghai/S1078/2013|2013-04-03
>A/chicken/Shanghai/S1079/2013|2013-04-03
>A/chicken/Shanghai/S1080/2013|2013-04-03
>A/chicken/Shanghai/S1358/2013|2013-04-03
>A/chicken/Shanghai/S1410/2013|2013-04-03
>A/chicken/Shanghai/S1413/2013|2013-04-03
>A/chicken/Zhejiang/SD007/2013|2013-04-22
>A/chicken/Zhejiang/SD019/2013|2013-04-11
>A/chicken/Zhejiang/SD033/2013|2013-04-11
>A/Chicken/Shanghai/S1053/2013|2013-04-03
>A/Chicken/Jilin/13205/2014|2014-02-21
>A/Chicken/Jilin/13203/2014|2014-02-21
>A/Chicken/Jilin/13202/2014|2014-02-21
>A/Chicken/Jilin/13199/2014|2014-02-20
>A/Chicken/Jilin/13188/2014|2014-02-20
>A/Chicken/Jilin/05/2014|2014-02-21
>A/chicken/Anhui-Chuzhou/01/2013|2013-03-29
>A/Chicken/Suzhou/097-1/2013|2013-04-09
>A/Chicken/Nanjing/761/2013|2013-04-09
>A/Chicken/Nanjing/759/2013|2013-04-09
>A/Chicken/Zhejiang/3/2014|2014-01-20
>A/Chicken/Zhejiang/2/2014|2014-01-17
>A/Chicken/Zhejiang/1/2014|2014-01-27
>A/Chicken/Zhejiang/3/2013|2013-04-04
>A/Chicken/Zhejiang/2/2013|2013-04-04
>A/Chicken/Zhejiang/1/2013|2013-04-04
>A/chicken/Hangzhou/50-1/2013(H7N9)|2013-04-10
>A/chicken/Hangzhou/48-1/2013(H7N9)|2013-04-10
>A/Chicken/Guangdong/SW154/2015|2015-02-10
>A/Chicken/Guangdong/SW153/2015|2015-02-05
>A/Chicken/Guangdong/CZ145/2015|2015-02-01
>A/Chicken/Guangdong/GZ068/2015|2015-01-01
>A/Chicken/Guangdong/DG120/2015|2015-01-15
>A/Chicken/Guangdong/HZ098/2015|2015-01-01
>A/Chicken/Guangdong/DG593/2014|2014-12-12
>A/Chicken/Guangdong/DG479/2014|2014-11-30
>A/Chicken/Guangdong/DG478/2014|2014-11-25
>A/chicken/Shanghai/PD-CN-02/2014|2014-01-21
>A/chicken/Dongguan/3145/2013|2013-12-18
>A/chicken/Dongguan/3141/2013|2013-12-18
>A/chicken/Dongguan/3112/2013|2013-12-18
>A/silkie_chicken/Dongguan/3049/2013|2013-12-18
>A/chicken/Dongguan/2912/2013|2013-12-18
>A/chicken/Shenzhen/2293/2013|2013-12-13
>A/chicken/Shenzhen/2201/2013|2013-12-13
>A/silkie_chicken/Shenzhen/2139/2013|2013-12-13
>A/silkie_chicken/Shenzhen/2134/2013|2013-12-13
>A/chicken/Dongguan/575/2014|2014-02-20
>A/silkie_chicken/Dongguan/523/2014|2014-02-20
>A/chicken/Dongguan/1697/2014|2014-02-21
>A/chicken/Dongguan/1690/2014|2014-02-21
>A/silkie_chicken/Dongguan/1641/2014|2014-02-21
>A/chicken/Dongguan/1548/2014|2014-02-21
>A/chicken/Dongguan/1533/2014|2014-02-21
>A/chicken/Dongguan/1527/2014|2014-02-21
>A/silkie_chicken/Dongguan/1519/2014|2014-02-21
>A/chicken/Dongguan/1100/2014|2014-02-21
>A/silkie_chicken/Dongguan/997/2014|2014-02-21
>A/silkie_chicken/Dongguan/953/2014|2014-02-21
>A/chicken/Dongguan/397/2014|2014-02-20
>A/chicken/Shantou/1556/2014|2014-03-05
>A/chicken/Shantou/1554/2014|2014-03-05
>A/chicken/Shantou/1552/2014|2014-03-05
>A/chicken/Shantou/1550/2014|2014-03-05
>A/silkie_chicken/Shantou/1406/2014|2014-02-25
>A/chicken/Shenzhen/138/2014|2014-02-19
>A/chicken/Shenzhen/2110/2013|2013-12-13
>A/chicken/Shenzhen/1665/2013|2013-12-12
>A/silkie_chicken/Shenzhen/919/2013|2013-12-09
>A/silkie_chicken/Shenzhen/918/2013|2013-12-09
>A/chicken/Shenzhen/898/2013|2013-12-09
>A/chicken/Shenzhen/749/2013|2013-12-10
>A/chicken/Shenzhen/747/2013|2013-12-10
>A/chicken/Shenzhen/742/2013|2013-12-10
>A/chicken/Shenzhen/727/2013|2013-12-10
>A/chicken/Guangdong/SD1/2013|2013-05-16
>A/chicken/Guangdong/G3/2013|2013-05-05
>A/chicken/Guangdong/G2/2013|2013-05-05
>A/chicken/Guangdong/G1/2013|2013-05-05
>A/chicken/Guangdong/3640/2013|2013-05-16
>A/chicken/Guangdong/3135/2013|2013-05-16
>A/chicken/Guangdong/SD641/2013|2013-05-03
>A/chicken/Jiangsu/S002/2013|2013-04-16
>A/chicken/Jiangsu/SC035/2013|2013-04-16
>A/chicken/Jiangsu/SC099/2013|2013-04-16
>A/chicken/Jiangsu/SC537/2013|2013-04-16
>A/chicken/Jiangxi/SD001/2013|2013-05-03
>A/chicken/Shanghai/S1055/2013|2013-04-03
>A/chicken/Shanghai/S1076/2013|2013-04-03
>A/chicken/Shanghai/S1077/2013|2013-04-03
>A/chicken/Shanghai/S1078/2013|2013-04-03
>A/chicken/Shanghai/S1079/2013|2013-04-03
>A/chicken/Shanghai/S1080/2013|2013-04-03
>A/chicken/Shanghai/S1358/2013|2013-04-03
>A/chicken/Shanghai/S1410/2013|2013-04-03
>A/chicken/Shanghai/S1413/2013|2013-04-03
>A/chicken/Zhejiang/SD007/2013|2013-04-22
>A/chicken/Zhejiang/SD019/2013|2013-04-11
>A/chicken/Zhejiang/SD033/2013|2013-04-11
>A/Chicken/Shanghai/S1053/2013|2013-04-03
>A/Chicken/Jilin/13205/2014|2014-02-21
>A/Chicken/Jilin/13203/2014|2014-02-21
>A/Chicken/Jilin/13202/2014|2014-02-21
>A/Chicken/Jilin/13199/2014|2014-02-20
>A/Chicken/Jilin/13188/2014|2014-02-20
>A/Chicken/Jilin/05/2014|2014-02-21
>A/chicken/Anhui-Chuzhou/01/2013|2013-03-29
>A/Chicken/Suzhou/097-1/2013|2013-04-09
>A/Chicken/Nanjing/761/2013|2013-04-09
>A/Chicken/Nanjing/759/2013|2013-04-09
>A/Chicken/Huzhou/C72/2013|2013-04-08
>A/Chicken/Zhejiang/3/2014|2014-01-20
>A/Chicken/Zhejiang/2/2014|2014-01-17
>A/Chicken/Zhejiang/1/2014|2014-01-27
>A/chicken/Hangzhou/50-1/2013(H7N9)|2013-04-10
>A/chicken/Hangzhou/48-1/2013(H7N9)|2013-04-10
>A/Chicken/Guangdong/SW154/2015|2015-02-10
>A/Chicken/Guangdong/SW153/2015|2015-02-05
>A/Chicken/Guangdong/CZ145/2015|2015-02-01
>A/Chicken/Guangdong/GZ068/2015|2015-01-01
>A/Chicken/Guangdong/DG120/2015|2015-01-15
>A/Chicken/Guangdong/HZ098/2015|2015-01-01
>A/Chicken/Guangdong/DG593/2014|2014-12-12
>A/Chicken/Guangdong/DG479/2014|2014-11-30
>A/Chicken/Guangdong/DG478/2014|2014-11-25
>A/chicken/Jiangsu/K89/2013|2013-04-01
>A/chicken/Jiangsu/K27/2013|2013-04-01
>A/chicken/Shanghai/PD-CN-02/2014|2014-01-21
>A/chicken/Guangzhou/1/2013|2013-07-12
>A/chicken/Dongguan/3145/2013|2013-12-18
>A/chicken/Dongguan/3141/2013|2013-12-18
>A/chicken/Dongguan/3112/2013|2013-12-18
>A/silkie_chicken/Dongguan/3049/2013|2013-12-18
>A/chicken/Dongguan/2912/2013|2013-12-18
>A/chicken/Shenzhen/2293/2013|2013-12-13
>A/chicken/Shenzhen/2201/2013|2013-12-13
>A/silkie_chicken/Shenzhen/2139/2013|2013-12-13
>A/silkie_chicken/Shenzhen/2134/2013|2013-12-13
>A/silkie_chicken/Dongguan/523/2014|2014-02-20
>A/chicken/Dongguan/1697/2014|2014-02-21
>A/chicken/Dongguan/1690/2014|2014-02-21
>A/silkie_chicken/Dongguan/1641/2014|2014-02-21
>A/chicken/Dongguan/1548/2014|2014-02-21
>A/chicken/Dongguan/1533/2014|2014-02-21
>A/chicken/Dongguan/1527/2014|2014-02-21
>A/silkie_chicken/Dongguan/1519/2014|2014-02-21
>A/chicken/Dongguan/1100/2014|2014-02-21
>A/silkie_chicken/Dongguan/997/2014|2014-02-21
>A/silkie_chicken/Dongguan/953/2014|2014-02-21
>A/chicken/Dongguan/397/2014|2014-02-20
>A/chicken/Shantou/1556/2014|2014-03-05
>A/chicken/Shantou/1554/2014|2014-03-05
>A/chicken/Shantou/1552/2014|2014-03-05
>A/chicken/Shantou/1550/2014|2014-03-05
>A/silkie_chicken/Shantou/1406/2014|2014-02-25
>A/chicken/Shenzhen/138/2014|2014-02-19
>A/chicken/Dongguan/575/2014|2014-02-20
>A/chicken/Shenzhen/2110/2013|2013-12-13
>A/chicken/Shenzhen/1665/2013|2013-12-12
>A/silkie_chicken/Shenzhen/919/2013|2013-12-09
>A/silkie_chicken/Shenzhen/918/2013|2013-12-09
>A/chicken/Shenzhen/898/2013|2013-12-09
>A/chicken/Shenzhen/749/2013|2013-12-10
>A/chicken/Shenzhen/747/2013|2013-12-10
>A/chicken/Shenzhen/742/2013|2013-12-10
>A/chicken/Shenzhen/727/2013|2013-12-10
>A/chicken/Guangdong/SD1/2013|2013-05-16
>A/chicken/Guangdong/G3/2013|2013-05-05
>A/chicken/Guangdong/G2/2013|2013-05-05
>A/chicken/Guangdong/G1/2013|2013-05-05
>A/chicken/Guangdong/3640/2013|2013-05-16
>A/chicken/Guangdong/3135/2013|2013-05-16
>A/chicken/Guangdong/SD641/2013|2013-05-03
>A/chicken/Jiangsu/S002/2013|2013-04-16
>A/chicken/Jiangsu/SC035/2013|2013-04-16
>A/chicken/Jiangsu/SC099/2013|2013-04-16
>A/chicken/Jiangsu/SC537/2013|2013-04-16
>A/chicken/Jiangxi/SD001/2013|2013-05-03
>A/chicken/Shanghai/S1055/2013|2013-04-03
>A/chicken/Shanghai/S1076/2013|2013-04-03
>A/chicken/Shanghai/S1077/2013|2013-04-03
>A/chicken/Shanghai/S1078/2013|2013-04-03
>A/chicken/Shanghai/S1079/2013|2013-04-03
>A/chicken/Shanghai/S1080/2013|2013-04-03
>A/chicken/Shanghai/S1358/2013|2013-04-03
>A/chicken/Shanghai/S1410/2013|2013-04-03
>A/chicken/Shanghai/S1413/2013|2013-04-03
>A/chicken/Zhejiang/SD007/2013|2013-04-22
>A/chicken/Zhejiang/SD019/2013|2013-04-11
>A/chicken/Zhejiang/SD033/2013|2013-04-11
>A/Chicken/Shanghai/S1053/2013|2013-04-03
>A/Chicken/Jilin/13205/2014|2014-02-21
>A/Chicken/Jilin/13203/2014|2014-02-21
>A/Chicken/Jilin/13202/2014|2014-02-21
>A/Chicken/Jilin/13199/2014|2014-02-20
>A/Chicken/Jilin/13188/2014|2014-02-20
>A/Chicken/Jilin/05/2014|2014-02-21
>A/chicken/Anhui-Chuzhou/01/2013|2013-03-29
>A/Chicken/Suzhou/097-1/2013|2013-04-09
>A/Chicken/Nanjing/761/2013|2013-04-09
>A/Chicken/Nanjing/759/2013|2013-04-09
>A/Chicken/Huzhou/C72/2013|2013-04-08
>A/Chicken/Zhejiang/3/2014|2014-01-20
>A/Chicken/Zhejiang/2/2014|2014-01-17
>A/Chicken/Zhejiang/1/2014|2014-01-27
>A/Chicken/Zhejiang/3/2013|2013-04-04
>A/Chicken/Zhejiang/2/2013|2013-04-04
>A/Chicken/Zhejiang/1/2013|2013-04-04
>A/chicken/Hangzhou/50-1/2013(H7N9)|2013-04-10
>A/chicken/Hangzhou/48-1/2013(H7N9)|2013-04-10
>A/Chicken/Guangdong/SW154/2015|2015-02-10
>A/Chicken/Guangdong/SW153/2015|2015-02-05
>A/Chicken/Guangdong/CZ145/2015|2015-02-01
>A/Chicken/Guangdong/GZ068/2015|2015-01-01
>A/Chicken/Guangdong/DG120/2015|2015-01-15
>A/Chicken/Guangdong/HZ098/2015|2015-01-01
>A/Chicken/Guangdong/DG593/2014|2014-12-12
>A/Chicken/Guangdong/DG479/2014|2014-11-30
>A/Chicken/Guangdong/DG478/2014|2014-11-25
>A/chicken/Shanghai/PD-CN-02/2014|2014-01-21
>A/chicken/Dongguan/3141/2013|2013-12-18
>A/chicken/Dongguan/3112/2013|2013-12-18
>A/silkie_chicken/Dongguan/3049/2013|2013-12-18
>A/chicken/Dongguan/2912/2013|2013-12-18
>A/chicken/Shenzhen/2293/2013|2013-12-13
>A/chicken/Shenzhen/2201/2013|2013-12-13
>A/silkie_chicken/Shenzhen/2139/2013|2013-12-13
>A/silkie_chicken/Shenzhen/2134/2013|2013-12-13
>A/silkie_chicken/Dongguan/523/2014|2014-02-20
>A/chicken/Dongguan/1697/2014|2014-02-21
>A/chicken/Dongguan/1690/2014|2014-02-21
>A/silkie_chicken/Dongguan/1641/2014|2014-02-21
>A/chicken/Dongguan/1548/2014|2014-02-21
>A/chicken/Dongguan/1533/2014|2014-02-21
>A/chicken/Dongguan/1527/2014|2014-02-21
>A/silkie_chicken/Dongguan/1519/2014|2014-02-21
>A/chicken/Dongguan/1100/2014|2014-02-21
>A/silkie_chicken/Dongguan/997/2014|2014-02-21
>A/silkie_chicken/Dongguan/953/2014|2014-02-21
>A/chicken/Dongguan/397/2014|2014-02-20
>A/chicken/Shantou/1556/2014|2014-03-05
>A/chicken/Shantou/1554/2014|2014-03-05
>A/chicken/Shantou/1552/2014|2014-03-05
>A/chicken/Shantou/1550/2014|2014-03-05
>A/silkie_chicken/Shantou/1406/2014|2014-02-25
>A/chicken/Shenzhen/138/2014|2014-02-19
>A/chicken/Dongguan/575/2014|2014-02-20
>A/chicken/Shenzhen/2110/2013|2013-12-13
>A/chicken/Shenzhen/1665/2013|2013-12-12
>A/silkie_chicken/Shenzhen/919/2013|2013-12-09
>A/silkie_chicken/Shenzhen/918/2013|2013-12-09
>A/chicken/Shenzhen/898/2013|2013-12-09
>A/chicken/Shenzhen/749/2013|2013-12-10
>A/chicken/Shenzhen/747/2013|2013-12-10
>A/chicken/Shenzhen/742/2013|2013-12-10
>A/chicken/Shenzhen/727/2013|2013-12-10
>A/chicken/Guangdong/SD1/2013|2013-05-16
>A/chicken/Guangdong/G3/2013|2013-05-05
>A/chicken/Guangdong/G2/2013|2013-05-05
>A/chicken/Guangdong/G1/2013|2013-05-05
>A/chicken/Guangdong/3640/2013|2013-05-16
>A/chicken/Guangdong/3135/2013|2013-05-16
>A/chicken/Guangdong/SD641/2013|2013-05-03
>A/chicken/Jiangsu/S002/2013|2013-04-16
>A/chicken/Jiangsu/SC035/2013|2013-04-16
>A/chicken/Jiangsu/SC099/2013|2013-04-16
>A/chicken/Jiangsu/SC537/2013|2013-04-16
