species,province,count,lat,lon,date,doy
Calidris alpina,Jiangsu,4,32.868218,120.91234,4/23/2017,112
Spatula clypeata,Jiangsu,1500,33.539015,120.546541,1/9/2015,8
Ardea cinerea,Guangdong,17,21.701216,111.913734,4/22/2016,112
Gallinula chloropus,Shanghai,1,31.117453,121.048869,9/22/2018,264
Egretta garzetta,Guangdong,7,22.485938,113.911633,10/17/2017,289
Gallinula chloropus,Jiangsu,1,32.868218,120.91234,4/29/2017,118
Tringa nebularia,Shanghai,5,30.920507,121.973159,5/26/2015,145
Tachybaptus ruficollis,Zhejiang,,30.340325,119.932873,11/9/2014,312
Charadrius placidus,Jiangxi,1,27.977272,117.895274,1/3/2015,2
Platalea minor,Shanghai,,31.687757,121.613716,4/4/2017,93
Gelochelidon nilotica,Jiangsu,19,32.75,120.96,9/23/2018,265
Tachybaptus ruficollis,Shanghai,2,31.215664,121.545353,10/15/2017,287
Phalacrocorax carbo,Shanghai,34,31.597857,121.859753,4/6/2017,95
Ardea cinerea,Shanghai,1,30.920507,121.973159,3/29/2018,87
Tringa stagnatilis,Jiangxi,50,29.173488,115.981259,12/29/2018,362
Numenius arquata,Jiangsu,3700,32.581667,121.006667,9/28/2015,270
Fulica atra,Shanghai,120,30.920507,121.973159,1/15/2017,14
Mergus merganser,Shanghai,17,31.49514,121.964722,12/11/2014,344
Actitis hypoleucos,Shanghai,1,30.920507,121.973159,6/8/2018,158
Recurvirostra avosetta,Jiangsu,20,32.75,120.96,4/29/2018,118
Gallinula chloropus,Shanghai,6,30.753804,121.39207,5/8/2016,128
Aythya ferina,Jiangsu,400,33.55764,120.428521,1/8/2015,7
Nycticorax nycticorax,Jiangsu,1,32.576717,121.004878,4/30/2018,119
Tachybaptus ruficollis,Jiangsu,5,32.009849,118.642391,10/25/2018,297
Calidris tenuirostris,Shanghai,,31.49514,121.964722,3/27/2017,85
Tachybaptus ruficollis,Jiangsu,,32.581667,121.006667,8/18/2010,229
Tringa nebularia,Jiangsu,,32.581667,121.006667,11/1/2013,304
Chlidonias leucopterus,Jiangsu,14,32.868218,120.91234,5/13/2014,132
Ardea cinerea,Shanghai,2,30.920507,121.973159,9/9/2018,251
Sterna hirundo,Shanghai,1,30.920507,121.973159,5/24/2016,144
Ardeola bacchus,Zhejiang,1,30.270709,120.078047,6/4/2017,154
Charadrius alexandrinus,Guangdong,8,20.88248,110.179113,12/2/2018,335
Egretta garzetta,Shanghai,,31.192569,121.364735,1/24/2016,23
Nycticorax nycticorax,Guangdong,1,22.627645,113.808867,8/20/2018,231
Recurvirostra avosetta,Jiangsu,1,33.634694,120.47629,12/30/2017,363
Tringa brevipes,Jiangsu,40,32.581667,121.006667,9/7/2014,249
Egretta garzetta,Shanghai,1,31.215664,121.545353,12/29/2017,362
Gallinula chloropus,Shanghai,1,31.215664,121.545353,5/5/2018,124
Platalea minor,Guangdong,16,22.522418,114.00032,12/17/2016,351
Tachybaptus ruficollis,Shanghai,25,30.920507,121.973159,11/1/2017,304
Himantopus himantopus,Jiangsu,3,33.602272,120.507223,6/16/2013,166
Actitis hypoleucos,Jiangsu,2,32.580672,120.999989,4/17/2017,106
Ardea cinerea,Shanghai,2,30.753804,121.39207,11/17/2016,321
Mareca penelope,Shanghai,60,30.920507,121.973159,3/26/2016,85
Spatula querquedula,Shanghai,15,30.920507,121.973159,8/21/2017,232
Gallinago gallinago,Shanghai,1,31.49514,121.964722,3/15/2015,73
Actitis hypoleucos,Shanghai,20,30.920507,121.973159,5/7/2016,127
Phalaropus lobatus,Shanghai,1,30.920507,121.973159,8/26/2017,237
Tringa nebularia,Shanghai,4,30.920507,121.973159,8/27/2017,238
Grus grus,Jiangxi,1,29.173488,115.981259,12/29/2018,362
Gallinago gallinago,Jiangsu,6,32.581667,121.006667,4/24/2015,113
Chroicocephalus ridibundus,Jiangsu,1,32.581667,121.006667,4/24/2015,113
Actitis hypoleucos,Jiangsu,1,32.557343,121.037442,5/23/2016,143
Chroicocephalus ridibundus,Jiangsu,165,33.602272,120.507223,11/30/2017,333
Pluvialis fulva,Shanghai,2,30.920507,121.973159,8/5/2017,216
Tringa stagnatilis,Jiangsu,4,32.75,120.96,9/15/2018,257
Limosa lapponica,Jiangsu,25,32.662,120.958,10/21/2017,293
Tachybaptus ruficollis,Zhejiang,10,30.316729,121.405835,12/24/2016,358
Calidris temminckii,Shanghai,1,30.920507,121.973159,4/10/2016,100
Calidris canutus,Guangdong,40,20.928752,110.165449,11/30/2018,333
Fulica atra,Shanghai,5,30.920507,121.973159,8/21/2017,232
Podiceps cristatus,Shanghai,1,30.920507,121.973159,6/29/2018,179
Calidris ruficollis,Jiangsu,6000,32.75,120.96,4/29/2018,118
Egretta garzetta,Jiangsu,20,32.576717,121.004878,4/17/2017,106
Ardea alba,Shanghai,3,30.920507,121.973159,10/30/2017,302
Ixobrychus sinensis,Shanghai,4,30.920507,121.973159,6/4/2017,154
Calidris alpina,Shanghai,100,30.920507,121.973159,11/10/2018,313
Cygnus columbianus,Jiangxi,100,29.173488,115.981259,12/29/2018,362
Egretta garzetta,Shanghai,5,30.901893,121.976287,5/6/2017,125
Tachybaptus ruficollis,Zhejiang,2,29.214208,120.061984,3/30/2010,88
Vanellus cinereus,Jiangsu,1,32.539098,121.112838,5/21/2016,141
Aythya fuligula,Shanghai,80,30.920507,121.973159,11/8/2016,312
Tringa nebularia,Shanghai,50,30.920507,121.973159,11/24/2016,328
Numenius madagascariensis,Jiangsu,3,32.868218,120.91234,8/11/2017,222
Tachybaptus ruficollis,Shanghai,,31.507963,121.962245,11/5/2011,308
Mareca penelope,Shanghai,40,30.899158,121.943077,2/26/2016,56
Calidris tenuirostris,Shanghai,60,30.920507,121.973159,9/17/2016,260
Aythya fuligula,Shanghai,30,30.920507,121.973159,3/12/2016,71
Anser cygnoides,Jiangxi,14,28.90712,116.266493,1/18/2018,17
Tachybaptus ruficollis,Jiangsu,3,33.602272,120.507223,12/12/2017,345
Scolopax rusticola,Shanghai,1,30.920507,121.973159,10/13/2018,285
Hydroprogne caspia,Guangdong,8,20.759,110.395,12/29/2015,362
Fulica atra,Shanghai,1,30.920507,121.973159,4/29/2018,118
Actitis hypoleucos,Shanghai,2,30.920507,121.973159,5/22/2018,141
Tringa erythropus,Shanghai,2,30.920507,121.973159,10/29/2017,301
Botaurus stellaris,Shanghai,1,30.878802,121.967039,12/1/2016,335
Leucogeranus leucogeranus,Jiangxi,12,29.09214,115.940693,1/2/2016,1
Charadrius alexandrinus,Shanghai,4,30.920507,121.973159,5/13/2017,132
Anas platyrhynchos,Zhejiang,3,30.270709,120.078047,5/14/2010,133
Charadrius dubius,Guangdong,8,23.316031,116.723771,9/23/2015,265
Charadrius alexandrinus,Jiangsu,40,32.581667,121.006667,8/11/2015,222
Tringa brevipes,Guangdong,1,20.603704,110.490103,4/11/2014,100
Nycticorax nycticorax,Shanghai,2,30.920507,121.973159,9/17/2018,259
Anser cygnoides,Jiangxi,30,29.17685,115.988805,12/29/2018,362
Nycticorax nycticorax,Shanghai,,31.221888,121.420066,7/4/2017,184
Ardea cinerea,Guangdong,20,23.075547,113.323916,2/4/2018,34
Calidris ruficollis,Shanghai,4,30.81801,121.556897,4/15/2017,104
Tadorna tadorna,Shanghai,6,30.901893,121.976287,12/25/2014,358
Spatula clypeata,Shanghai,8,30.920507,121.973159,10/1/2011,273
Anas acuta,Shanghai,60,30.920507,121.973159,11/12/2016,316
Gallinula chloropus,Shanghai,5,31.144741,121.370688,12/30/2016,364
Limosa lapponica,Jiangsu,600,32.581667,121.006667,4/17/2015,106
Tringa stagnatilis,Jiangsu,5,32.528747,121.137521,5/1/2017,120
Charadrius leschenaultii,Jiangsu,20,32.528747,121.137521,5/6/2018,125
Actitis hypoleucos,Zhejiang,5,30.241824,119.734667,10/16/2017,288
Calidris ruficollis,Shanghai,5,31.313462,121.876574,11/12/2016,316
Calidris acuminata,Shanghai,1,30.729147,121.37219,4/7/2017,96
