4071,Aix galericulata,Mandarin Duck
43355,Anas acuta,Northern Pintail
78953,Anas crecca,Eurasian Teal
30350,Aythya ferina,Common Pochard
12157,Gallinula chloropus,Common Moorhen
182059,Recurvirostra avosetta,Pied Avocet
36187,Spatula clypeata,Northern Shoveler
5087,Tringa glareola,Wood Sandpiper
